Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C19, C2, C20",0805,4,10u,
"C10, C16, C17, C18, C4, C5, C6, C7, C8, C9",0805,10,0.1u,
"C14, C15",0805,2,15p,
C3,0805,1,1u,
D1,0805,1,STATUS,
D2,0805,1,5V,
D3,0805,1,3V,
D5,D_SOD-123,1,D_Schottky,
D6,0805,1,CHARGE,
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J2,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,HDR_DBG,
J3,JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical,1,HDR_DISP,
J4,JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical,1,HDR_LED,
J5,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,BATT,
"R1, R14, R15, R2",0805,4,5.1k,
"R10, R11, R7, R8, R9",0805,5,4.7k,
R13,0805,1,10k,
"R3, R4",0805,2,1k,
"R5, R6",0805,2,27,
"S1, S2",SW_SKRPACE010,2,SKRPACE010,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q32JVSS,
U4,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,1,BME680,
U5,SOT95P240X105-3N,1,DMG3415U-7,DMG3415U-7
U6,SOT-23-5,1,MCP73831-2-OT,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,Crystal_GND24,
